system,mode,slice,n_pos,n_neg,TPR,FPR,TPR_CI,FPR_CI,precision,precision_at_prev,F1,ROC_AUC,PR_AUC,AUC_CI,TPR@FPR1%,TPR@FPR5%,FPR@TPR90%,FPR@TPR95%
PG2-22M+ctx,chunk,agentdojo_paired,2450,49,0.004897959183673469,0.0,"(0.0028040559121836096, 0.00854207172702505)","(0.0, 0.07270029673590504)",1.0,1.0,0.009748172217709178,0.7643148688046648,0.9916284928990847,"(0.6911386922115785, 0.8396407746772178)",0.05020408163265306,0.09020408163265306,0.4897959183673469,0.6122448979591837
PG2-22M+ctx,chunk,hard_negatives,0,40,,0.0,"(nan, nan)","(0.0, 0.08762453925039232)",,,,,,"(nan, nan)",,,,
PG2-22M+ctx,chunk,attacks_vs_hard_negatives,4558,40,0.0026327336551118913,0.0,"(0.001506693369167655, 0.00459645585021778)","(0.0, 0.08762453925039232)",1.0,1.0,0.00525164113785558,0.7761243966652039,0.9963967080145135,"(0.7090304135585783, 0.8348251700307152)",0.004387889425186486,0.6342694164107064,0.8,0.85
PG2-86M+ctx,truncate,injecagent,2108,170,0.5004743833017078,0.0,"(0.4791482173743414, 0.5217988233506826)","(0.0, 0.022098277972591136)",1.0,1.0,0.6670882073980399,0.9050535774081927,0.9919153145661429,"(0.887848601964505, 0.9210576654760576)",0.571157495256167,0.7447817836812144,0.38235294117647056,0.6352941176470588
PG2-86M+ctx,truncate,agentdojo,2450,142,0.4542857142857143,0.0,"(0.43465652679770395, 0.4740580373371611)","(0.0, 0.02634090684688045)",1.0,1.0,0.6247544204322201,0.9679793043978154,0.9979700184219967,"(0.9570130066110952, 0.9777482035067547)",0.7004081632653061,0.8183673469387756,0.09154929577464789,0.1619718309859155
PG2-86M+ctx,truncate,agentdojo_paired,2450,49,0.4542857142857143,0.0,"(0.43465652679770395, 0.4740580373371611)","(0.0, 0.07270029673590504)",1.0,1.0,0.6247544204322201,0.9352269887546856,0.9985350527199535,"(0.9090417534360683, 0.9586033944189921)",0.6089795918367347,0.7093877551020408,0.20408163265306123,0.3877551020408163
PG2-86M+ctx,truncate,hard_negatives,0,40,,0.075,"(nan, nan)","(0.025835556771858226, 0.19864530159097524)",0.0,,,,,"(nan, nan)",,,,
PG2-86M+ctx,truncate,attacks_vs_hard_negatives,4558,40,0.475647213690215,0.075,"(0.46117530949036145, 0.4901601336341873)","(0.025835556771858226, 0.19864530159097524)",0.9986181483187471,0.06020357583692829,0.6443750928815574,0.8624835454146554,0.9966325766873352,"(0.7873168056164984, 0.9246500658183414)",0.00021939447125932427,0.3426941641070645,0.375,0.475
PG2-86M+ctx,chunk,injecagent,2108,170,0.5004743833017078,0.0,"(0.4791482173743414, 0.5217988233506826)","(0.0, 0.022098277972591136)",1.0,1.0,0.6670882073980399,0.9050535774081927,0.9919153145661429,"(0.887848601964505, 0.9210576654760576)",0.571157495256167,0.7447817836812144,0.38235294117647056,0.6352941176470588
PG2-86M+ctx,chunk,agentdojo,2450,142,0.5583673469387755,0.0,"(0.5386275290787313, 0.5779244113562177)","(0.0, 0.02634090684688045)",1.0,1.0,0.7166055526453641,0.9726128197757976,0.998350439246673,"(0.963737711986203, 0.9802461914343202)",0.7555102040816326,0.8526530612244898,0.09154929577464789,0.1619718309859155
PG2-86M+ctx,chunk,agentdojo_paired,2450,49,0.5583673469387755,0.0,"(0.5386275290787313, 0.5779244113562177)","(0.0, 0.07270029673590504)",1.0,1.0,0.7166055526453641,0.9480299875052061,0.9989039518171734,"(0.9318286130778842, 0.9647401082882132)",0.7555102040816326,0.8461224489795919,0.20408163265306123,0.3877551020408163
PG2-86M+ctx,chunk,hard_negatives,0,40,,0.075,"(nan, nan)","(0.025835556771858226, 0.19864530159097524)",0.0,,,,,"(nan, nan)",,,,
PG2-86M+ctx,chunk,attacks_vs_hard_negatives,4558,40,0.5315928038613427,0.075,"(0.5170855499569545, 0.546046848151739)","(0.025835556771858226, 0.19864530159097524)",0.9987633965375103,0.06681161358456852,0.6938717067583047,0.8628784554629222,0.9966465187756668,"(0.7882469010530935, 0.9246503400614305)",0.00021939447125932427,0.3578323826239579,0.375,0.475
protectai-v2,truncate,injecagent,2108,170,0.821157495256167,0.2823529411764706,"(0.8042182589819821, 0.8369283118593159)","(0.2200738101880883, 0.35425132257645126)",0.9730185497470489,0.028538078798729882,0.8906611782865963,0.8689892845183614,0.9884044133572151,"(0.8477057986382409, 0.8881387431632994)",0.5939278937381404,0.6266603415559773,0.5117647058823529,0.7058823529411765
protectai-v2,truncate,agentdojo,2450,142,0.6342857142857142,0.29577464788732394,"(0.6150176884305885, 0.6531332794232452)","(0.2268874530870216, 0.37542080463916894)",0.9736842105263158,0.021202240480379653,0.7681660899653979,0.7523756826674332,0.9773401797031473,"(0.7143900546133947, 0.7923973124461051)",0.029387755102040815,0.19673469387755102,0.6549295774647887,0.6830985915492958
protectai-v2,truncate,agentdojo_paired,2450,49,0.6342857142857142,0.3877551020408163,"(0.6150176884305885, 0.6531332794232452)","(0.26428814373960496, 0.5275425351194757)",0.9879211697393515,0.01625455001882766,0.7725577926920207,0.7012119950020824,0.9906388449124272,"(0.6351074552269887, 0.7720394627238651)",0.04122448979591837,0.14857142857142858,0.7346938775510204,0.7551020408163265
protectai-v2,truncate,hard_negatives,0,40,,0.375,"(nan, nan)","(0.2422277353579172, 0.529678399454681)",0.0,,,,,"(nan, nan)",,,,
protectai-v2,truncate,attacks_vs_hard_negatives,4558,40,0.7207108380868802,0.375,"(0.7075041703342471, 0.7335457775639878)","(0.2422277353579172, 0.529678399454681)",0.9954545454545455,0.019043395463497988,0.8360906082972767,0.6960289600702062,0.9944221187018207,"(0.602758611232997, 0.7910742101799034)",0.006362439666520404,0.06713470820535322,0.65,0.775
protectai-v2,chunk,injecagent,2108,170,0.821157495256167,0.2823529411764706,"(0.8042182589819821, 0.8369283118593159)","(0.2200738101880883, 0.35425132257645126)",0.9730185497470489,0.028538078798729882,0.8906611782865963,0.8689892845183614,0.9884044133572151,"(0.8477057986382409, 0.8881387431632994)",0.5939278937381404,0.6266603415559773,0.5117647058823529,0.7058823529411765
protectai-v2,chunk,agentdojo,2450,142,0.726530612244898,0.323943661971831,"(0.7085358329917357, 0.7438161036613882)","(0.25248729177507834, 0.4046749993681894)",0.9748083242059146,0.022152381319642495,0.8325537885874649,0.7758335728657659,0.9794192400080006,"(0.7380472837022133, 0.8134125107789595)",0.029387755102040815,0.20448979591836736,0.6126760563380281,0.6830985915492958
protectai-v2,chunk,agentdojo_paired,2450,49,0.726530612244898,0.46938775510204084,"(0.7085358329917357, 0.7438161036613882)","(0.33703281897894777, 0.6061937298008014)",0.9872434830837493,0.015393928911182221,0.8370561956266165,0.7224614743856727,0.9913834245365722,"(0.6574425239483549, 0.7883552686380675)",0.04122448979591837,0.15224489795918367,0.7346938775510204,0.7551020408163265
protectai-v2,chunk,hard_negatives,0,40,,0.375,"(nan, nan)","(0.2422277353579172, 0.529678399454681)",0.0,,,,,"(nan, nan)",,,,
protectai-v2,chunk,attacks_vs_hard_negatives,4558,40,0.7702939885914875,0.375,"(0.7578574876843481, 0.7822752516900308)","(0.2422277353579172, 0.529678399454681)",0.995745887691435,0.02032690362089254,0.8686293913904009,0.7088086880210618,0.994585282080702,"(0.6141286611452391, 0.8033082629442737)",0.006362439666520404,0.06713470820535322,0.625,0.75
keyword-generic,full,injecagent,2108,170,0.7988614800759013,0.0058823529411764705,"(0.7812126255597753, 0.815423031205391)","(0.001039108788732302, 0.032563895325357764)",0.9994065281899109,0.5783761505701333,0.8879514895860796,0.8973908918406072,0.9846974313170547,"(0.8875711574952562, 0.9074970002232392)",0.7988614800759013,0.7988614800759013,1.0,1.0
keyword-generic,full,agentdojo,2450,142,0.6212244897959184,0.04929577464788732,"(0.6018405403841987, 0.6402288743653108)","(0.024080963350659727, 0.09825450197610572)",0.9954218443427076,0.11291898427042375,0.7650163357627545,0.7904713998275366,0.9772422672045832,"(0.7724280684104629, 0.8067540241448692)",0.18285714285714286,0.6212244897959184,1.0,1.0
keyword-generic,full,agentdojo_paired,2450,49,0.6212244897959184,0.12244897959183673,"(0.6018405403841987, 0.6402288743653108)","(0.057347477598098245, 0.2424466240188096)",0.9960732984293194,0.048747677919415804,0.7652086475615887,0.7605830903790086,0.9908516914619252,"(0.7205463348604748, 0.7951634735526865)",0.18285714285714286,0.18285714285714286,1.0,1.0
keyword-generic,full,hard_negatives,0,40,,0.65,"(nan, nan)","(0.4950559699353738, 0.7786566682895086)",0.0,,,,,"(nan, nan)",,,,
keyword-generic,full,attacks_vs_hard_negatives,4558,40,0.7033786748573936,0.65,"(0.6899512382480949, 0.7164635745766205)","(0.4950559699353738, 0.7786566682895086)",0.9919554455445545,0.010812331183795128,0.8231065468549422,0.5157744624835454,0.9914465973242919,"(0.42892688679245283, 0.6088891783677052)",0.0,0.01601579640193067,1.0,1.0
keyword-template-aware,full,injecagent,2108,170,0.7988614800759013,0.0058823529411764705,"(0.7812126255597753, 0.815423031205391)","(0.001039108788732302, 0.032563895325357764)",0.9994065281899109,0.5783761505701333,0.8879514895860796,0.8979838709677419,0.9848170828916694,"(0.8886676805447036, 0.907733877943967)",0.7988614800759013,0.7988614800759013,1.0,1.0
keyword-template-aware,full,agentdojo,2450,142,0.9485714285714286,0.04929577464788732,"(0.9391018317726431, 0.9566365076539932)","(0.024080963350659727, 0.09825450197610572)",0.996996996996997,0.16273723308042282,0.9721815519765739,0.9674748490945674,0.9965071704357419,"(0.96072201063524, 0.9736695171026156)",0.7236734693877551,0.9485714285714286,0.04929577464788732,1.0
keyword-template-aware,full,agentdojo_paired,2450,49,0.9485714285714286,0.12244897959183673,"(0.9391018317726431, 0.9566365076539932)","(0.057347477598098245, 0.2424466240188096)",0.9974248927038627,0.0725705720709468,0.9723849372384938,0.9573677634319034,0.9984124602630752,"(0.9433022698875468, 0.9700375885047897)",0.7236734693877551,0.7236734693877551,0.12244897959183673,1.0
keyword-template-aware,full,hard_negatives,0,40,,0.65,"(nan, nan)","(0.4950559699353738, 0.7786566682895086)",0.0,,,,,"(nan, nan)",,,,
keyword-template-aware,full,attacks_vs_hard_negatives,4558,40,0.8793330408073716,0.65,"(0.8695554810906702, 0.8884717156449639)","(0.4950559699353738, 0.7786566682895086)",0.993554784333168,0.013480638231533996,0.9329608938547486,0.7559922114962704,0.9964924555660806,"(0.6991246160596754, 0.8112509598508117)",0.03093462044756472,0.5054848617814831,1.0,1.0
